"CONTINENT","COUNTRY","CITY","ID_auto","car_brand","car_model","car_price","production_cost","car_weight","car_production","car_orders"
EUROPE,Germany,lipsk,1,opel,astra,100000,60000.00,1300.00,5600,3920.00
EUROPE,Germany,dortmund,2,opel,vectra,165000,99000.00,1500.00,4600,2990.00
EUROPE,France,paris,4,renault,megane,120000,72000.00,1200.00,7000,4200.00
EUROPE,France,paris,5,renault,clio,95000,57000.00,1100.00,5500,4400.00
EUROPE,Germany,munchen,6,bmw,"4",175000,61250.00,1500.00,4200,3780.00
EUROPE,Germany,augsburg,7,bmw,"6",205000,71750.00,1700.00,3600,2880.00
EUROPE,Germany,dortmund,10,opel,adam,100000,60000.00,1000.00,7500,6750.00
EUROPE,Germany,lipsk,11,opel,zafira,170000,102000.00,1800.00,6900,6900.00
EUROPE,Italy,turin,12,fiat,bravo,130000,84500.00,1350.00,12000,9600.00
EUROPE,Germany,lipsk,13,opel,omega,155000,93000.00,1700.00,8400,5040.00
EUROPE,France,strasburg,14,renault,RS,195000,117000.00,1250.50,2500,2500.00
EUROPE,Germany,munchen,15,bmw,"3",171000,59850.00,1420.00,6500,5850.00
EUROPE,Germany,stuttgart,20,audi,a4,225000,101250.00,1530.00,10500,7350.00
EUROPE,Germany,stuttgart,21,audi,A3,175000,78750.00,1390.50,8700,7830.00
EUROPE,Germany,stuttgart,22,audi,A8,275000,123750.00,2100.40,7100,3550.00
EUROPE,Great Britain,manchester,29,ford,focus,147000,80850.00,1370.00,14900,13410.00
EUROPE,Germany,dortmund,36,opel,corsa,100000,60000.00,1150.00,12000,9000.00
EUROPE,Germany,lipsk,37,opel,crossland,214000,128400.00,2050.00,3500,2800.00
EUROPE,Germany,dortmund,38,opel,mocca,100000,60000.00,1550.00,8200,5740.00
EUROPE,Italy,turin,42,fiat,tipo,120000,78000.00,1450.00,14500,8700.00
EUROPE,Italy,turin,43,fiat,panda,58500,38025.00,980.00,9900,6930.00
EUROPE,France,paris,44,renault,captur,130000,78000.00,1320.00,16900,16900.00
EUROPE,Great Britain,manchester,48,ford,mondeo,190000,104500.00,1560.00,11900,8330.00
EUROPE,Great Britain,manchester,49,ford,skyful,304000,167200.00,1490.00,999,999.00
EUROPE,Germany,augsburg,50,bmw,X5,254000,88900.00,1680.00,7100,5325.00
EUROPE,Italy,turin,52,fiat,"600",154000,100100.00,1180.00,10900,8720.00
EUROPE,Italy,turin,55,fiat,croma,199000,129350.00,1510.00,5000,3800.00
EUROPE,Great Britain,manchester,61,toyota,aygo,79000,39500.00,1100.00,15000,12300.00
NORTH AMERICA,United States,boston,24,ford,mustang,125000,68750.00,1600.00,4900,4900.00
NORTH AMERICA,United States,boston,28,ford,puma,134000,73700.00,1260.00,8900,7120.00
NORTH AMERICA,United States,detroit,31,pontiac,gto,204000,122400.00,1790.00,2200,2200.00
NORTH AMERICA,United States,detroit,32,dodge,demon,275000,165000.00,1850.00,1200,1200.00
NORTH AMERICA,United States,boston,51,bmw,X7,315000,110250.00,1890.00,9000,8100.00
NORTH AMERICA,United States,boston,53,audi,Q7,365000,164250.00,1910.00,11500,9200.00
NORTH AMERICA,United States,memphis,56,toyota,camry,230000,115000.00,1640.00,11000,10700.00
NORTH AMERICA,United States,memphis,57,toyota,RAV4,260000,130000.00,1620.00,10000,9850.00
NORTH AMERICA,United States,boston,58,bmw,Z4,350000,122500.00,1160.00,4100,3600.00
ASIA,South Korea,seul,3,kia,ceed,135000,60750.00,1250.00,9000,8550.00
ASIA,South Korea,seul,8,hyundai,i30,125000,56250.00,1400.00,11000,11000.00
ASIA,South Korea,seul,9,hyundai,i40,150000,67500.00,1600.00,9000,8100.00
ASIA,South Korea,pusan,16,hyundai,elantra,100000,45000.00,1350.65,16000,13600.00
ASIA,South Korea,seul,17,kia,xceed,150000,67500.00,1400.00,9100,7280.00
ASIA,South Korea,pusan,18,kia,venga,103000,46350.00,1360.00,7500,4500.00
ASIA,South Korea,seul,19,kia,stonic,117000,52650.00,1440.00,9200,7360.00
ASIA,South Korea,seul,23,hyundai,i10,60000,27000.00,1020.35,9700,6790.00
ASIA,Japan,tokio,25,honda,jazz,110000,49500.00,1200.00,7000,5950.00
ASIA,Japan,yokohama,26,honda,CR-V,170000,76500.00,1700.00,6500,5200.00
ASIA,Japan,tokio,27,honda,civic,130000,58500.00,1380.00,15500,13950.00
ASIA,Japan,yokohama,30,honda,HR-V,144000,64800.00,1530.00,8100,8100.00
ASIA,South Korea,seul,39,kia,optima,265000,119250.00,1700.00,1700,1530.00
ASIA,South Korea,pusan,40,kia,picanto,70000,31500.00,1050.00,6500,5200.00
ASIA,South Korea,pusan,41,kia,EV6,204000,91800.00,1600.00,11000,8250.00
ASIA,South Korea,pusan,54,hyundai,Santa Fe,279000,125550.00,1920.00,8100,7700.00
ASIA,Japan,tokio,60,toyota,corolla,135000,67500.00,1440.00,22000,18500.00
AUSTRALIA,Australia,sydney,33,acura,rsx,255000,102000.00,1450.00,1850,1850.00
AUSTRALIA,Australia,victoria,34,range,discovery,335000,201000.00,2100.00,5500,3850.00
AUSTRALIA,Australia,victoria,35,dodge,ram,215000,129000.00,2300.00,7900,6320.00
AUSTRALIA,Australia,sydney,45,acura,ssx,404000,161600.00,1475.00,700,665.00
AUSTRALIA,Australia,perth,46,acura,lightning,625000,250000.00,1525.00,500,500.00
AUSTRALIA,Australia,perth,47,acura,rapido,164000,65600.00,1510.00,15500,12400.00
AUSTRALIA,Australia,perth,59,toyota,supra,399000,199500.00,1310.00,8900,8870.00
